"","gene","DSC_27.readcounts","DSC_28.readcounts","DSC_29.readcounts","DSC_30.readcounts","DSC_31.readcounts","MC_27.readcounts","MC_28.readcounts","MC_29.readcounts","MC_30.readcounts","MC_31.readcounts"
"12017","ENSG00000244265",1,1,0,1,0,5,1,0,1,5
"12018","ENSG00000239265",0,0,0,0,0,0,0,0,0,2
"12019","ENSG00000214237",0,0,0,0,0,0,0,1,0,0
"12020","ENSG00000260234",0,0,0,0,0,0,0,3,0,0
"12021","ENSG00000243273",0,0,0,0,0,0,0,0,0,0
"12022","ENSG00000163646",0,0,0,0,0,0,0,0,0,0
"12023","ENSG00000276055",0,0,0,0,0,0,0,0,0,0
"12024","ENSG00000144893",17,34,20,15,22,52,15,39,54,84
"12025","ENSG00000199994",0,0,0,0,0,0,0,0,0,0
"12026","ENSG00000174946",0,0,1,0,0,0,1,8,5,2
"12027","ENSG00000174944",0,0,1,0,1,0,0,0,0,1
"12028","ENSG00000239570",0,0,0,0,0,0,0,0,0,1
"12029","ENSG00000286273",0,0,0,0,0,0,0,0,0,0
"12030","ENSG00000138271",0,0,0,0,0,0,1,0,0,0
"12031","ENSG00000181631",0,0,0,0,0,0,0,0,0,0
"12032","ENSG00000169313",49,119,27,40,69,253,71,52,187,142
"12033","ENSG00000152580",4,0,3,9,3,29,32,10,19,51
"12034","ENSG00000242810",0,0,0,0,0,0,0,0,0,0
"12035","ENSG00000242119",0,0,0,0,0,0,0,0,0,0
"12036","ENSG00000264330",0,0,0,0,0,0,0,0,0,0
"12037","ENSG00000241151",0,0,0,0,0,0,0,1,0,0
"12038","ENSG00000197953",0,0,0,0,1,0,0,3,0,0
"12039","ENSG00000242908",1,0,0,0,0,0,0,0,0,0
"12040","ENSG00000242097",0,0,0,0,0,0,1,0,0,0
"12041","ENSG00000240602",2,2,0,0,0,0,0,0,0,0
"12042","ENSG00000250271",0,0,0,0,0,0,0,0,0,0
"12043","ENSG00000114771",0,0,0,1,0,0,0,0,0,0
"12044","ENSG00000198829",0,0,0,0,0,0,0,1,0,0
"12045","ENSG00000239941",0,0,0,0,0,0,0,0,0,0
"12046","ENSG00000152601",3408,4095,4039,2928,4399,3854,2031,1291,2816,1929
"12047","ENSG00000229619",75,138,106,96,139,44,20,19,15,36
"12048","ENSG00000221962",0,1,3,1,3,0,1,12,1,4
"12049","ENSG00000201217",2,4,8,3,8,5,2,5,0,2
"12050","ENSG00000243305",0,0,0,0,0,0,0,0,0,0
"12051","ENSG00000244545",0,0,0,0,0,0,0,0,0,0
"12052","ENSG00000287706",0,0,9,3,1,2,1,9,0,5
"12053","ENSG00000242561",0,0,0,0,0,0,0,0,0,0
"12054","ENSG00000169860",1463,857,1943,886,2002,189,42,42,19,94
"12055","ENSG00000241810",0,0,0,0,0,0,0,0,0,0
"12056","ENSG00000241671",0,0,0,0,0,0,0,0,0,0
"12057","ENSG00000244268",1,1,2,1,1,8,9,0,7,2
"12058","ENSG00000181467",1711,1614,1266,1286,1148,3633,2613,1985,3565,2789
"12059","ENSG00000265813",0,0,0,0,0,0,0,3,0,1
"12060","ENSG00000241220",0,0,0,0,0,0,1,2,0,0
"12061","ENSG00000241912",0,0,0,0,0,1,0,2,0,0
"12062","ENSG00000238755",0,1,1,1,0,2,2,6,0,4
"12063","ENSG00000237787",0,0,0,0,0,0,5,7,4,2
"12064","ENSG00000207323",0,0,0,0,0,0,0,0,0,0
"12065","ENSG00000200162",0,0,0,0,0,0,0,0,0,0
"12066","ENSG00000243486",0,0,0,0,0,0,0,2,0,0
"12067","ENSG00000201398",0,0,0,0,0,0,0,0,0,0
"12068","ENSG00000240068",1,0,0,2,0,1,0,0,0,0
"12069","ENSG00000243069",52,110,50,60,114,8,18,21,10,27
"12070","ENSG00000114790",1215,1867,1659,1196,1552,315,170,157,201,270
"12071","ENSG00000174953",1999,2118,2536,1903,2591,2564,1643,994,1312,1113
"12072","ENSG00000271922",0,0,0,0,0,0,0,0,0,0
"12073","ENSG00000279305",0,0,0,0,0,0,0,0,0,0
"12074","ENSG00000174948",0,0,0,0,0,0,0,0,0,0
"12075","ENSG00000240048",4,1,2,3,2,3,4,5,1,1
"12076","ENSG00000243861",0,0,0,0,0,0,0,0,0,0
"12077","ENSG00000243154",0,0,0,0,0,0,0,0,0,0
"12078","ENSG00000242151",0,0,0,0,0,0,0,0,0,0
"12079","ENSG00000240601",0,0,0,0,0,0,0,0,0,0
"12080","ENSG00000243969",0,0,0,0,0,0,0,0,0,0
"12081","ENSG00000243953",0,0,0,0,0,0,0,0,0,0
"12082","ENSG00000196549",843,53,80,44,23,11259,774,176,1308,841
"12083","ENSG00000240666",2,0,0,0,0,5,0,0,0,0
"12084","ENSG00000241336",3,0,0,0,0,0,0,0,0,0
"12085","ENSG00000240045",0,0,0,0,0,0,0,0,1,2
"12086","ENSG00000242790",0,0,0,0,0,0,0,0,0,0
"12087","ENSG00000239443",1,1,0,0,0,2,3,0,0,0
"12088","ENSG00000114805",29,39,48,29,27,95,7,2,5,6
"12089","ENSG00000248772",0,0,0,0,0,0,0,0,0,0
"12090","ENSG00000243518",1,0,0,1,0,1,0,0,0,0
"12091","ENSG00000242152",0,0,0,0,0,0,0,0,0,0
"12092","ENSG00000272096",1,0,0,0,0,0,0,0,0,0
"12093","ENSG00000239508",0,0,1,1,0,0,0,5,0,3
"12094","ENSG00000242925",0,0,0,0,0,0,0,0,0,0
"12095","ENSG00000239212",0,0,0,0,0,0,0,3,0,0
"12096","ENSG00000214919",0,0,0,0,0,0,1,0,0,0
"12097","ENSG00000241307",4,0,3,1,1,0,1,0,1,1
"12098","ENSG00000174928",35,55,24,24,33,29,26,9,25,14
"12099","ENSG00000284952",1,0,0,0,0,0,0,0,0,0
"12100","ENSG00000169359",933,1030,1028,840,1140,649,500,533,694,650
"12101","ENSG00000286585",1,12,0,5,8,10,15,9,4,5
"12102","ENSG00000163655",1289,1611,1673,1145,1501,2553,1541,684,1404,1159
"12103","ENSG00000288032",0,1,2,0,1,0,0,4,4,0
"12104","ENSG00000240489",52,80,96,69,70,93,82,69,32,33
"12105","ENSG00000174930",0,0,0,0,0,0,0,0,0,0
"12106","ENSG00000169282",106,77,92,56,91,44,39,40,39,41
"12107","ENSG00000242017",3,5,3,3,2,3,5,1,0,3
"12108","ENSG00000242537",0,0,0,0,0,0,0,1,0,0
"12109","ENSG00000287916",26,26,24,22,27,11,8,5,7,10
