"","gene","msc_11_S11.readcounts","msc_12_S12.readcounts","msc_13_S13.readcounts","msc_14_S14.readcounts","msc_15_S15.readcounts"
"74","ENSG00000237330",0,0,0,0,0
"75","ENSG00000131591",265,210,225,227,272
"76","ENSG00000285812",1,3,0,1,0
"77","ENSG00000223823",0,0,0,0,0
"78","ENSG00000207730",0,0,0,0,0
"79","ENSG00000207607",0,0,0,0,0
"80","ENSG00000198976",0,0,0,0,0
"81","ENSG00000272141",0,0,0,0,0
"82","ENSG00000205231",0,0,0,0,0
"83","ENSG00000162571",0,0,0,0,0
"84","ENSG00000186891",3,1,0,0,0
"85","ENSG00000186827",0,2,0,0,0
"86","ENSG00000078808",4375,4177,4686,5113,4798
"87","ENSG00000176022",780,792,944,789,707
"88","ENSG00000184163",10,7,4,2,3
"89","ENSG00000260179",7,8,2,2,2
"90","ENSG00000160087",988,1212,1107,923,992
"91","ENSG00000230415",9,11,10,6,6
"92","ENSG00000162572",56,60,44,48,36
"93","ENSG00000131584",1053,640,1232,1117,1302
"94","ENSG00000278073",0,0,0,0,0
"95","ENSG00000169972",152,99,157,156,169
"96","ENSG00000127054",1730,1554,1898,1730,1849
"97","ENSG00000283712",0,0,0,0,0
"98","ENSG00000240731",17,10,12,17,12
"99","ENSG00000224051",781,876,966,858,822
"100","ENSG00000169962",14,24,12,8,3
"101","ENSG00000107404",1416,1381,1804,1529,1796
"102","ENSG00000284372",0,0,0,0,0
"103","ENSG00000162576",137,216,126,65,53
"104","ENSG00000175756",1610,1579,1808,1557,1582
"105","ENSG00000223663",0,0,0,0,0
"106","ENSG00000221978",1079,874,798,1302,919
"107","ENSG00000224870",248,382,466,341,305
"108","ENSG00000242485",842,871,1085,933,831
"109","ENSG00000264293",0,0,0,0,0
"110","ENSG00000272455",56,99,35,27,25
"111","ENSG00000235098",25,33,37,74,43
"112","ENSG00000225905",1,0,7,6,2
"113","ENSG00000205116",0,0,0,0,1
"114","ENSG00000225285",4,0,0,0,0
"115","ENSG00000179403",230,238,251,237,537
"116","ENSG00000215915",1,5,0,1,0
"117","ENSG00000160072",745,294,224,358,354
"118","ENSG00000284740",5,6,13,4,10
"119","ENSG00000197785",944,776,765,573,867
"120","ENSG00000205090",39,20,72,59,83
"121","ENSG00000160075",5101,7542,5610,3805,4858
"122","ENSG00000215014",205,513,132,44,83
"123","ENSG00000274481",0,0,0,0,0
"124","ENSG00000228594",1248,2086,2662,1655,2060
"125","ENSG00000286989",13,31,66,38,50
"126","ENSG00000272106",93,161,347,163,151
"127","ENSG00000197530",973,868,1220,1119,1248
"128","ENSG00000189409",2,1,0,0,0
"129","ENSG00000248333",723,739,861,829,677
"130","ENSG00000272004",0,0,0,2,0
"131","ENSG00000189339",1010,1853,3526,2659,3036
"132","ENSG00000269737",17,14,7,14,15
"133","ENSG00000215914",1,8,5,2,4
"134","ENSG00000008128",54,93,69,68,64
"135","ENSG00000268575",23,86,91,49,89
"136","ENSG00000227775",1,3,4,2,3
"137","ENSG00000215790",912,849,650,243,443
"138","ENSG00000008130",2169,2467,2705,2405,2234
