Gene_id	dsc_1	dsc_3	dsc_5	dsc_7	dsc_9	dsc_2	dsc_4	dsc_6	dsc_8	dsc_10	dsc_27	dsc_28	dsc_29	dsc_30	dsc_31
ENSG00000230415	0	17	13	16	6	11	14	12	11	16	58	78	58	52	0
ENSG00000162572	52	105	89	136	70	72	106	94	56	70	566	395	382	350	2
ENSG00000131584	1802	3103	2713	2709	2332	2323	2853	2020	2308	2029	8457	7364	5937	6372	9
ENSG00000278073	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000169972	241	244	271	244	243	289	278	216	276	214	407	297	256	276	0
ENSG00000127054	1376	1879	1745	1526	1655	1972	2025	1368	1978	1695	2863	2549	2320	2290	4
ENSG00000283712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731	22	19	15	39	30	32	29	31	27	33	89	74	76	76	0
ENSG00000224051	613	694	677	497	695	781	714	514	778	619	682	598	486	445	1
ENSG00000169962	13	32	27	27	30	15	24	26	27	14	50	33	35	47	0
ENSG00000107404	1513	1923	1829	1339	1866	1837	2242	1543	1686	1778	3309	2720	2159	1992	4
ENSG00000284372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162576	8180	10893	9487	5969	7742	10377	10690	7012	12833	6329	12752	11132	7256	6635	10
ENSG00000175756	1020	998	1108	796	1103	1325	1128	809	1014	1057	1698	1478	925	1131	2
ENSG00000223663	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0
ENSG00000221978	619	1015	978	1088	802	852	1134	894	959	834	5389	6310	5478	4565	7
ENSG00000224870	208	293	261	248	299	277	298	202	331	273	443	364	255	334	0
ENSG00000242485	593	688	676	569	621	777	641	508	721	609	1154	1153	956	944	0
ENSG00000264293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272455	18	26	15	15	12	15	14	3	11	17	37	47	18	32	0
ENSG00000235098	19	30	31	68	40	38	43	24	95	36	47	57	49	56	0
ENSG00000225905	1	1	0	5	1	0	2	1	1	1	5	6	2	1	0
ENSG00000205116	0	2	0	0	0	0	0	0	0	0	0	3	1	2	0
ENSG00000225285	3	9	3	11	7	0	7	2	8	6	6	17	10	18	0
ENSG00000179403	1143	3095	1624	1483	2191	1024	1823	840	2128	1437	2118	3708	1551	2080	4
ENSG00000215915	3	11	3	13	12	0	3	7	5	6	13	27	24	50	0
ENSG00000160072	310	320	329	335	297	442	376	238	285	315	1192	997	833	774	0
ENSG00000284740	2	6	0	1	6	2	1	2	0	1	4	4	4	1	0
ENSG00000197785	670	680	830	463	695	856	641	507	559	580	1379	1091	974	810	0
ENSG00000205090	45	103	47	40	79	72	92	32	65	78	91	118	52	53	0
ENSG00000160075	1655	2076	1906	1566	2042	2495	1996	1534	2072	1883	2876	2689	2357	2275	7
ENSG00000215014	7	8	3	8	9	11	6	9	5	5	17	15	18	13	0
ENSG00000274481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228594	192	221	162	109	184	245	191	121	145	157	190	245	128	113	0
ENSG00000286989	0	1	3	5	1	3	6	2	6	0	8	5	9	6	0
ENSG00000272106	79	149	111	160	130	124	152	64	184	93	181	254	143	230	0
ENSG00000197530	680	855	724	831	787	971	962	663	707	822	2508	1880	1383	1866	0
ENSG00000189409	0	0	2	0	0	2	0	0	1	0	3	0	1	0	0
ENSG00000248333	487	694	682	683	660	664	846	634	733	699	1106	1180	1089	1150	0
ENSG00000272004	0	1	1	0	2	0	1	0	1	0	0	2	2	2	0
ENSG00000189339	801	2219	1554	2033	1799	1088	2655	1197	2245	1904	1286	3287	2050	2517	1
ENSG00000269737	7	18	22	22	11	37	23	24	32	24	57	58	52	48	0
ENSG00000215914	0	1	3	1	2	2	1	0	1	1	5	8	12	4	0
ENSG00000008128	43	66	75	65	71	50	61	73	47	56	100	95	93	73	0
ENSG00000268575	25	53	46	41	44	29	89	31	51	58	41	126	97	68	0
ENSG00000227775	0	1	1	2	1	0	2	2	9	4	5	10	11	18	0
