"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"ENSG00000011258.16",285,416,335,333,349,223,305,323,237,249
"ENSG00000011260.14",389,455,541,342,437,800,924,858,728,571
"ENSG00000011275.18",1248,1457,1522,1305,1532,1101,1171,1377,1257,1173
"ENSG00000011295.16",800,916,923,720,940,990,996,899,953,835
"ENSG00000011304.20",4824,4972,5451,4290,5540,6867,4565,5102,5523,5131
"ENSG00000011332.19",68,99,80,102,98,46,82,39,55,34
"ENSG00000011347.9",447,251,74,138,173,12,4,1,3,2
"ENSG00000011376.12",572,695,544,543,716,1438,1287,1095,1340,1087
"ENSG00000011405.13",2042,2173,2384,2279,2348,1799,1892,1533,1610,1518
"ENSG00000011422.12",2557,3277,3109,2086,2526,245,46,71,76,60
"ENSG00000011426.11",791,1159,1647,1326,1168,1857,72,65,870,502
"ENSG00000011451.19",1926,2209,2132,1915,2163,1998,1812,2911,2610,2816
"ENSG00000011454.17",1155,1478,1298,1343,1323,1371,1696,1903,1616,1396
"ENSG00000011465.17",2795,379,121,41,95,21,13,24,95,19
"ENSG00000011478.12",329,361,343,344,348,704,921,802,1113,763
"ENSG00000011485.15",1013,1172,1173,1066,1049,1886,1578,1488,1677,1381
"ENSG00000011523.14",502,667,632,572,648,413,693,869,543,682
"ENSG00000011566.15",458,524,479,448,504,731,717,564,621,439
"ENSG00000011590.14",3,0,0,0,0,0,0,0,0,0
"ENSG00000011600.11",0,0,0,0,0,0,0,0,0,0
"ENSG00000011638.10",259,307,256,174,281,524,643,713,612,606
"ENSG00000011677.13",0,1,0,0,0,0,0,0,0,1
"ENSG00000012048.22",125,236,241,269,261,849,897,449,863,490
"ENSG00000012061.15",1934,2014,2435,1865,2091,1287,1558,1519,1223,1286
"ENSG00000012124.17",3,10,14,4,9,2,4,3,0,0
"ENSG00000012171.20",15477,23458,22716,19857,16124,522,52,335,319,777
"ENSG00000012174.12",895,992,1033,1022,1049,1135,1197,1056,1289,898
"ENSG00000012211.13",199,225,193,218,198,346,592,679,521,463
"ENSG00000012223.13",0,0,0,0,0,3,12,14,8,9
"ENSG00000012232.9",3097,3784,3744,3389,3447,2549,3505,3797,3136,3594
